Date,Assets,type
2016-05,67305,Last2
2016-06,65326,Last2
2016-07,63347,Last2
2016-08,61368,Last2
2016-09,59389,Last2
2016-10,57410,Last2
2016-11,55431,Last2
2016-12,53452,Last2
2017-01,51473,Last2
2017-02,49494,Last2
2017-03,47515,Last2
2017-04,45536,Last2
2017-05,43557,Last2
2017-06,41578,Last2
2017-07,39599,Last2
2017-08,37620,Last2
2017-09,35641,Last2
2017-10,33662,Last2
2017-11,31683,Last2
2017-12,29704,Last2
2018-01,27725,Last2
2018-02,25746,Last2
2018-03,23767,Last2
2018-04,21788,Last2
2018-05,19809,Last2
2018-06,17830,Last2
2018-07,15851,Last2
2018-08,13872,Last2
2018-09,11893,Last2
2018-10,9914,Last2
2018-11,7935,Last2
2018-12,5956,Last2
2019-01,3977,Last2
2019-02,1998,Last2
2019-03,19,Last2
2019-04,-1960,Last2
2019-05,-3939,Last2
2019-06,-5918,Last2
2019-07,-7897,Last2
2019-08,-9876,Last2
2019-09,-11855,Last2
2019-10,-13834,Last2
2019-11,-15813,Last2
2019-12,-17792,Last2
2020-01,-19771,Last2
2020-02,-21750,Last2
2020-03,-23729,Last2
2020-04,-25708,Last2
2016-05,67305,Last4
2016-06,65743,Last4
2016-07,64181,Last4
2016-08,62619,Last4
2016-09,61057,Last4
2016-10,59495,Last4
2016-11,57933,Last4
2016-12,56371,Last4
2017-01,54809,Last4
2017-02,53247,Last4
2017-03,51685,Last4
2017-04,50123,Last4
2017-05,48561,Last4
2017-06,46999,Last4
2017-07,45437,Last4
2017-08,43875,Last4
2017-09,42313,Last4
2017-10,40751,Last4
2017-11,39189,Last4
2017-12,37627,Last4
2018-01,36065,Last4
2018-02,34503,Last4
2018-03,32941,Last4
2018-04,31379,Last4
2018-05,29817,Last4
2018-06,28255,Last4
2018-07,26693,Last4
2018-08,25131,Last4
2018-09,23569,Last4
2018-10,22007,Last4
2018-11,20445,Last4
2018-12,18883,Last4
2019-01,17321,Last4
2019-02,15759,Last4
2019-03,14197,Last4
2019-04,12635,Last4
2019-05,11073,Last4
2019-06,9511,Last4
2019-07,7949,Last4
2019-08,6387,Last4
2019-09,4825,Last4
2019-10,3263,Last4
2019-11,1701,Last4
2019-12,139,Last4
2020-01,-1423,Last4
2020-02,-2985,Last4
2020-03,-4547,Last4
2020-04,-6109,Last4
2016-05,67305,Last6
2016-06,65871,Last6
2016-07,64437,Last6
2016-08,63003,Last6
2016-09,61569,Last6
2016-10,60135,Last6
2016-11,58701,Last6
2016-12,57267,Last6
2017-01,55833,Last6
2017-02,54399,Last6
2017-03,52965,Last6
2017-04,51531,Last6
2017-05,50097,Last6
2017-06,48663,Last6
2017-07,47229,Last6
2017-08,45795,Last6
2017-09,44361,Last6
2017-10,42927,Last6
2017-11,41493,Last6
2017-12,40059,Last6
2018-01,38625,Last6
2018-02,37191,Last6
2018-03,35757,Last6
2018-04,34323,Last6
2018-05,32889,Last6
2018-06,31455,Last6
2018-07,30021,Last6
2018-08,28587,Last6
2018-09,27153,Last6
2018-10,25719,Last6
2018-11,24285,Last6
2018-12,22851,Last6
2019-01,21417,Last6
2019-02,19983,Last6
2019-03,18549,Last6
2019-04,17115,Last6
2019-05,15681,Last6
2019-06,14247,Last6
2019-07,12813,Last6
2019-08,11379,Last6
2019-09,9945,Last6
2019-10,8511,Last6
2019-11,7077,Last6
2019-12,5643,Last6
2020-01,4209,Last6
2020-02,2775,Last6
2020-03,1341,Last6
2020-04,-93,Last6
